"filename", "language", "JSON", "CSS", "PHP", "JavaScript", "XML", "Markdown", "SCSS", "comment", "blank", "total"
"f:\programming\projects\Rcomputer-project\back-end\README.md", "Markdown", 0, 0, 0, 0, 0, 45, 0, 0, 22, 67
"f:\programming\projects\Rcomputer-project\back-end\app\Charts\Informations.php", "PHP", 0, 0, 10, 0, 0, 0, 0, 5, 4, 19
"f:\programming\projects\Rcomputer-project\back-end\app\Http\Controllers\AdminsController.php", "PHP", 0, 0, 73, 0, 0, 0, 0, 25, 17, 115
"f:\programming\projects\Rcomputer-project\back-end\app\Http\Controllers\AuthController.php", "PHP", 0, 0, 68, 0, 0, 0, 0, 1, 14, 83
"f:\programming\projects\Rcomputer-project\back-end\app\Http\Controllers\Auth\ConfirmPasswordController.php", "PHP", 0, 0, 13, 0, 0, 0, 0, 20, 7, 40
"f:\programming\projects\Rcomputer-project\back-end\app\Http\Controllers\Auth\ForgotPasswordController.php", "PHP", 0, 0, 8, 0, 0, 0, 0, 10, 5, 23
"f:\programming\projects\Rcomputer-project\back-end\app\Http\Controllers\Auth\LoginController.php", "PHP", 0, 0, 12, 0, 0, 0, 0, 21, 7, 40
"f:\programming\projects\Rcomputer-project\back-end\app\Http\Controllers\Auth\RegisterController.php", "PHP", 0, 0, 31, 0, 0, 0, 0, 33, 9, 73
"f:\programming\projects\Rcomputer-project\back-end\app\Http\Controllers\Auth\ResetPasswordController.php", "PHP", 0, 0, 9, 0, 0, 0, 0, 15, 6, 30
"f:\programming\projects\Rcomputer-project\back-end\app\Http\Controllers\Auth\VerificationController.php", "PHP", 0, 0, 15, 0, 0, 0, 0, 20, 7, 42
"f:\programming\projects\Rcomputer-project\back-end\app\Http\Controllers\BrandsController.php", "PHP", 0, 0, 70, 0, 0, 0, 0, 22, 19, 111
"f:\programming\projects\Rcomputer-project\back-end\app\Http\Controllers\CategoriesController.php", "PHP", 0, 0, 69, 0, 0, 0, 0, 22, 18, 109
"f:\programming\projects\Rcomputer-project\back-end\app\Http\Controllers\ClientsController.php", "PHP", 0, 0, 47, 0, 0, 0, 0, 26, 13, 86
"f:\programming\projects\Rcomputer-project\back-end\app\Http\Controllers\Controller.php", "PHP", 0, 0, 5, 0, 0, 0, 0, 1, 3, 9
"f:\programming\projects\Rcomputer-project\back-end\app\Http\Controllers\DashboardController.php", "PHP", 0, 0, 82, 0, 0, 0, 0, 0, 11, 93
"f:\programming\projects\Rcomputer-project\back-end\app\Http\Controllers\HomeController.php", "PHP", 0, 0, 14, 0, 0, 0, 0, 10, 5, 29
"f:\programming\projects\Rcomputer-project\back-end\app\Http\Controllers\MessagesController.php", "PHP", 0, 0, 56, 0, 0, 0, 0, 0, 13, 69
"f:\programming\projects\Rcomputer-project\back-end\app\Http\Controllers\OrdersController.php", "PHP", 0, 0, 71, 0, 0, 0, 0, 24, 18, 113
"f:\programming\projects\Rcomputer-project\back-end\app\Http\Controllers\ProductsController.php", "PHP", 0, 0, 146, 0, 0, 0, 0, 22, 26, 194
"f:\programming\projects\Rcomputer-project\back-end\app\Http\Requests\StoreAdminRequest.php", "PHP", 0, 0, 15, 0, 0, 0, 0, 9, 5, 29
"f:\programming\projects\Rcomputer-project\back-end\app\Http\Requests\StoreBrandRequest.php", "PHP", 0, 0, 15, 0, 0, 0, 0, 9, 5, 29
"f:\programming\projects\Rcomputer-project\back-end\app\Http\Requests\StoreCategoryRequest.php", "PHP", 0, 0, 15, 0, 0, 0, 0, 9, 5, 29
"f:\programming\projects\Rcomputer-project\back-end\app\Http\Requests\StoreClientRequest.php", "PHP", 0, 0, 15, 0, 0, 0, 0, 8, 6, 29
"f:\programming\projects\Rcomputer-project\back-end\app\Http\Requests\StoreOrderRequest.php", "PHP", 0, 0, 15, 0, 0, 0, 0, 9, 5, 29
"f:\programming\projects\Rcomputer-project\back-end\app\Http\Requests\StoreProductRequest.php", "PHP", 0, 0, 15, 0, 0, 0, 0, 9, 5, 29
"f:\programming\projects\Rcomputer-project\back-end\app\Http\Requests\UpdateAdminRequest.php", "PHP", 0, 0, 15, 0, 0, 0, 0, 9, 5, 29
"f:\programming\projects\Rcomputer-project\back-end\app\Http\Requests\UpdateBrandRequest.php", "PHP", 0, 0, 15, 0, 0, 0, 0, 9, 5, 29
"f:\programming\projects\Rcomputer-project\back-end\app\Http\Requests\UpdateCategoryRequest.php", "PHP", 0, 0, 15, 0, 0, 0, 0, 9, 5, 29
"f:\programming\projects\Rcomputer-project\back-end\app\Http\Requests\UpdateClientRequest.php", "PHP", 0, 0, 15, 0, 0, 0, 0, 9, 5, 29
"f:\programming\projects\Rcomputer-project\back-end\app\Http\Requests\UpdateOrderRequest.php", "PHP", 0, 0, 15, 0, 0, 0, 0, 9, 5, 29
"f:\programming\projects\Rcomputer-project\back-end\app\Http\Requests\UpdateProductRequest.php", "PHP", 0, 0, 15, 0, 0, 0, 0, 9, 5, 29
"f:\programming\projects\Rcomputer-project\back-end\app\Http\Resources\BrandsResource.php", "PHP", 0, 0, 18, 0, 0, 0, 0, 5, 4, 27
"f:\programming\projects\Rcomputer-project\back-end\app\Http\Resources\CategoriesResource.php", "PHP", 0, 0, 18, 0, 0, 0, 0, 5, 4, 27
"f:\programming\projects\Rcomputer-project\back-end\app\Http\Resources\ClientsResource.php", "PHP", 0, 0, 22, 0, 0, 0, 0, 5, 4, 31
"f:\programming\projects\Rcomputer-project\back-end\app\Http\Resources\MessagesResource.php", "PHP", 0, 0, 20, 0, 0, 0, 0, 5, 4, 29
"f:\programming\projects\Rcomputer-project\back-end\app\Http\Resources\OrdersResource.php", "PHP", 0, 0, 22, 0, 0, 0, 0, 5, 4, 31
"f:\programming\projects\Rcomputer-project\back-end\app\Http\Resources\ProductsResource.php", "PHP", 0, 0, 25, 0, 0, 0, 0, 5, 4, 34
"f:\programming\projects\Rcomputer-project\back-end\app\Mail\ReplyMail.php", "PHP", 0, 0, 31, 0, 0, 0, 0, 15, 8, 54
"f:\programming\projects\Rcomputer-project\back-end\app\Models\Admin.php", "PHP", 0, 0, 30, 0, 0, 0, 0, 0, 9, 39
"f:\programming\projects\Rcomputer-project\back-end\app\Models\Brand.php", "PHP", 0, 0, 26, 0, 0, 0, 0, 0, 9, 35
"f:\programming\projects\Rcomputer-project\back-end\app\Models\Category.php", "PHP", 0, 0, 26, 0, 0, 0, 0, 0, 8, 34
"f:\programming\projects\Rcomputer-project\back-end\app\Models\Client.php", "PHP", 0, 0, 16, 0, 0, 0, 0, 0, 5, 21
"f:\programming\projects\Rcomputer-project\back-end\app\Models\Message.php", "PHP", 0, 0, 14, 0, 0, 0, 0, 0, 5, 19
"f:\programming\projects\Rcomputer-project\back-end\app\Models\Order.php", "PHP", 0, 0, 23, 0, 0, 0, 0, 0, 7, 30
"f:\programming\projects\Rcomputer-project\back-end\app\Models\OrderProduct.php", "PHP", 0, 0, 19, 0, 0, 0, 0, 0, 7, 26
"f:\programming\projects\Rcomputer-project\back-end\app\Models\Product.php", "PHP", 0, 0, 54, 0, 0, 0, 0, 0, 13, 67
"f:\programming\projects\Rcomputer-project\back-end\app\Models\User.php", "PHP", 0, 0, 25, 0, 0, 0, 0, 16, 7, 48
"f:\programming\projects\Rcomputer-project\back-end\app\Policies\AdminPolicy.php", "PHP", 0, 0, 29, 0, 0, 0, 0, 28, 10, 67
"f:\programming\projects\Rcomputer-project\back-end\app\Policies\BrandPolicy.php", "PHP", 0, 0, 29, 0, 0, 0, 0, 28, 10, 67
"f:\programming\projects\Rcomputer-project\back-end\app\Policies\CategoryPolicy.php", "PHP", 0, 0, 29, 0, 0, 0, 0, 28, 10, 67
"f:\programming\projects\Rcomputer-project\back-end\app\Policies\ClientPolicy.php", "PHP", 0, 0, 29, 0, 0, 0, 0, 28, 10, 67
"f:\programming\projects\Rcomputer-project\back-end\app\Policies\OrderPolicy.php", "PHP", 0, 0, 29, 0, 0, 0, 0, 28, 10, 67
"f:\programming\projects\Rcomputer-project\back-end\app\Policies\ProductPolicy.php", "PHP", 0, 0, 29, 0, 0, 0, 0, 28, 10, 67
"f:\programming\projects\Rcomputer-project\back-end\app\Providers\AppServiceProvider.php", "PHP", 0, 0, 14, 0, 0, 0, 0, 7, 5, 26
"f:\programming\projects\Rcomputer-project\back-end\bootstrap\app.php", "PHP", 0, 0, 15, 0, 0, 0, 0, 2, 3, 20
"f:\programming\projects\Rcomputer-project\back-end\bootstrap\providers.php", "PHP", 0, 0, 4, 0, 0, 0, 0, 0, 2, 6
"f:\programming\projects\Rcomputer-project\back-end\composer.json", "JSON", 69, 0, 0, 0, 0, 0, 0, 0, 1, 70
"f:\programming\projects\Rcomputer-project\back-end\composer.lock", "JSON", 8378, 0, 0, 0, 0, 0, 0, 0, 1, 8379
"f:\programming\projects\Rcomputer-project\back-end\config\app.php", "PHP", 0, 0, 22, 0, 0, 0, 0, 82, 23, 127
"f:\programming\projects\Rcomputer-project\back-end\config\auth.php", "PHP", 0, 0, 28, 0, 0, 0, 0, 74, 14, 116
"f:\programming\projects\Rcomputer-project\back-end\config\cache.php", "PHP", 0, 0, 56, 0, 0, 0, 0, 34, 18, 108
"f:\programming\projects\Rcomputer-project\back-end\config\charts.php", "PHP", 0, 0, 4, 0, 0, 0, 0, 10, 2, 16
"f:\programming\projects\Rcomputer-project\back-end\config\database.php", "PHP", 0, 0, 105, 0, 0, 0, 0, 43, 23, 171
"f:\programming\projects\Rcomputer-project\back-end\config\filesystems.php", "PHP", 0, 0, 32, 0, 0, 0, 0, 32, 13, 77
"f:\programming\projects\Rcomputer-project\back-end\config\logging.php", "PHP", 0, 0, 79, 0, 0, 0, 0, 33, 21, 133
"f:\programming\projects\Rcomputer-project\back-end\config\mail.php", "PHP", 0, 0, 52, 0, 0, 0, 0, 42, 18, 112
"f:\programming\projects\Rcomputer-project\back-end\config\queue.php", "PHP", 0, 0, 52, 0, 0, 0, 0, 44, 17, 113
"f:\programming\projects\Rcomputer-project\back-end\config\sanctum.php", "PHP", 0, 0, 17, 0, 0, 0, 0, 53, 14, 84
"f:\programming\projects\Rcomputer-project\back-end\config\services.php", "PHP", 0, 0, 17, 0, 0, 0, 0, 11, 7, 35
"f:\programming\projects\Rcomputer-project\back-end\config\session.php", "PHP", 0, 0, 23, 0, 0, 0, 0, 160, 35, 218
"f:\programming\projects\Rcomputer-project\back-end\cspell.json", "JSON", 9, 0, 0, 0, 0, 0, 0, 0, 1, 10
"f:\programming\projects\Rcomputer-project\back-end\database\factories\AdminFactory.php", "PHP", 0, 0, 11, 0, 0, 0, 0, 9, 4, 24
"f:\programming\projects\Rcomputer-project\back-end\database\factories\BrandFactory.php", "PHP", 0, 0, 11, 0, 0, 0, 0, 9, 4, 24
"f:\programming\projects\Rcomputer-project\back-end\database\factories\CategoryFactory.php", "PHP", 0, 0, 11, 0, 0, 0, 0, 9, 4, 24
"f:\programming\projects\Rcomputer-project\back-end\database\factories\ClientFactory.php", "PHP", 0, 0, 11, 0, 0, 0, 0, 9, 4, 24
"f:\programming\projects\Rcomputer-project\back-end\database\factories\OrderFactory.php", "PHP", 0, 0, 11, 0, 0, 0, 0, 9, 4, 24
"f:\programming\projects\Rcomputer-project\back-end\database\factories\ProductFactory.php", "PHP", 0, 0, 11, 0, 0, 0, 0, 9, 4, 24
"f:\programming\projects\Rcomputer-project\back-end\database\factories\UserFactory.php", "PHP", 0, 0, 25, 0, 0, 0, 0, 14, 6, 45
"f:\programming\projects\Rcomputer-project\back-end\database\migrations\0001_01_01_000000_create_users_table.php", "PHP", 0, 0, 38, 0, 0, 0, 0, 6, 6, 50
"f:\programming\projects\Rcomputer-project\back-end\database\migrations\0001_01_01_000001_create_cache_table.php", "PHP", 0, 0, 25, 0, 0, 0, 0, 6, 5, 36
"f:\programming\projects\Rcomputer-project\back-end\database\migrations\0001_01_01_000002_create_jobs_table.php", "PHP", 0, 0, 46, 0, 0, 0, 0, 6, 6, 58
"f:\programming\projects\Rcomputer-project\back-end\database\migrations\2024_05_13_141606_create_clients_table.php", "PHP", 0, 0, 25, 0, 0, 0, 0, 6, 4, 35
"f:\programming\projects\Rcomputer-project\back-end\database\migrations\2024_05_13_142420_create_admins_table.php", "PHP", 0, 0, 22, 0, 0, 0, 0, 6, 4, 32
"f:\programming\projects\Rcomputer-project\back-end\database\migrations\2024_05_13_142644_create_categories_table.php", "PHP", 0, 0, 21, 0, 0, 0, 0, 6, 4, 31
"f:\programming\projects\Rcomputer-project\back-end\database\migrations\2024_05_13_143844_create_brands_table.php", "PHP", 0, 0, 21, 0, 0, 0, 0, 6, 4, 31
"f:\programming\projects\Rcomputer-project\back-end\database\migrations\2024_05_13_144059_create_products_table.php", "PHP", 0, 0, 28, 0, 0, 0, 0, 6, 4, 38
"f:\programming\projects\Rcomputer-project\back-end\database\migrations\2024_05_13_144936_create_orders_table.php", "PHP", 0, 0, 22, 0, 0, 0, 0, 6, 4, 32
"f:\programming\projects\Rcomputer-project\back-end\database\migrations\2024_05_13_220711_add_image_to_clients_table.php", "PHP", 0, 0, 19, 0, 0, 0, 0, 6, 4, 29
"f:\programming\projects\Rcomputer-project\back-end\database\migrations\2024_05_13_220842_add_image_to_admins_table.php", "PHP", 0, 0, 19, 0, 0, 0, 0, 6, 4, 29
"f:\programming\projects\Rcomputer-project\back-end\database\migrations\2024_05_23_201736_create_personal_access_tokens_table.php", "PHP", 0, 0, 24, 0, 0, 0, 0, 6, 4, 34
"f:\programming\projects\Rcomputer-project\back-end\database\migrations\2024_05_24_171715_create_messages_table.php", "PHP", 0, 0, 22, 0, 0, 0, 0, 6, 4, 32
"f:\programming\projects\Rcomputer-project\back-end\database\migrations\2024_05_28_001301_drop_image_column_from_clients.php", "PHP", 0, 0, 19, 0, 0, 0, 0, 6, 4, 29
"f:\programming\projects\Rcomputer-project\back-end\database\migrations\2024_05_28_001847_drop_password_column_from_clients.php", "PHP", 0, 0, 19, 0, 0, 0, 0, 6, 4, 29
"f:\programming\projects\Rcomputer-project\back-end\database\migrations\2024_05_31_200658_drop_number_of_product_from_orders.php", "PHP", 0, 0, 19, 0, 0, 0, 0, 6, 4, 29
"f:\programming\projects\Rcomputer-project\back-end\database\migrations\2024_05_31_200724_drop_order_quantity_from_orders.php", "PHP", 0, 0, 19, 0, 0, 0, 0, 6, 4, 29
"f:\programming\projects\Rcomputer-project\back-end\database\migrations\2024_05_31_200747_drop_total_price_from_orders.php", "PHP", 0, 0, 19, 0, 0, 0, 0, 6, 4, 29
"f:\programming\projects\Rcomputer-project\back-end\database\migrations\2024_05_31_201852_create_order_product_table.php", "PHP", 0, 0, 20, 0, 0, 0, 0, 7, 4, 31
"f:\programming\projects\Rcomputer-project\back-end\database\migrations\2024_06_02_230322_drop_total_price_from_order_product_table.php", "PHP", 0, 0, 19, 0, 0, 0, 0, 6, 4, 29
"f:\programming\projects\Rcomputer-project\back-end\database\migrations\2024_06_02_230541_add_total_price_to_orders_table.php", "PHP", 0, 0, 19, 0, 0, 0, 0, 6, 4, 29
"f:\programming\projects\Rcomputer-project\back-end\database\migrations\2024_06_02_233023_add_order_id_foreign_to_order_product_table.php", "PHP", 0, 0, 19, 0, 0, 0, 0, 6, 4, 29
"f:\programming\projects\Rcomputer-project\back-end\database\seeders\AdminSeeder.php", "PHP", 0, 0, 10, 0, 0, 0, 0, 4, 4, 18
"f:\programming\projects\Rcomputer-project\back-end\database\seeders\BrandSeeder.php", "PHP", 0, 0, 10, 0, 0, 0, 0, 4, 4, 18
"f:\programming\projects\Rcomputer-project\back-end\database\seeders\CategorySeeder.php", "PHP", 0, 0, 10, 0, 0, 0, 0, 4, 4, 18
"f:\programming\projects\Rcomputer-project\back-end\database\seeders\ClientSeeder.php", "PHP", 0, 0, 10, 0, 0, 0, 0, 4, 4, 18
"f:\programming\projects\Rcomputer-project\back-end\database\seeders\DatabaseSeeder.php", "PHP", 0, 0, 14, 0, 0, 0, 0, 5, 5, 24
"f:\programming\projects\Rcomputer-project\back-end\database\seeders\OrderSeeder.php", "PHP", 0, 0, 10, 0, 0, 0, 0, 4, 4, 18
"f:\programming\projects\Rcomputer-project\back-end\database\seeders\ProductSeeder.php", "PHP", 0, 0, 10, 0, 0, 0, 0, 4, 4, 18
"f:\programming\projects\Rcomputer-project\back-end\package.json", "JSON", 16, 0, 0, 0, 0, 0, 0, 0, 1, 17
"f:\programming\projects\Rcomputer-project\back-end\phpunit.xml", "XML", 0, 0, 0, 0, 31, 0, 0, 2, 1, 34
"f:\programming\projects\Rcomputer-project\back-end\public\css\background.css", "CSS", 0, 46, 0, 0, 0, 0, 0, 0, 9, 55
"f:\programming\projects\Rcomputer-project\back-end\public\css\style.css", "CSS", 0, 42, 0, 0, 0, 0, 0, 2, 9, 53
"f:\programming\projects\Rcomputer-project\back-end\public\images\wave-haikei.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"f:\programming\projects\Rcomputer-project\back-end\public\index.php", "PHP", 0, 0, 9, 0, 0, 0, 0, 3, 6, 18
"f:\programming\projects\Rcomputer-project\back-end\resources\js\app.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"f:\programming\projects\Rcomputer-project\back-end\resources\js\bootstrap.js", "JavaScript", 0, 0, 0, 4, 0, 0, 0, 23, 8, 35
"f:\programming\projects\Rcomputer-project\back-end\resources\sass\_variables.scss", "SCSS", 0, 0, 0, 0, 0, 0, 4, 2, 2, 8
"f:\programming\projects\Rcomputer-project\back-end\resources\sass\app.scss", "SCSS", 0, 0, 0, 0, 0, 0, 3, 3, 3, 9
"f:\programming\projects\Rcomputer-project\back-end\resources\views\auth\login.blade.php", "PHP", 0, 0, 76, 0, 0, 0, 0, 0, 4, 80
"f:\programming\projects\Rcomputer-project\back-end\resources\views\auth\passwords\confirm.blade.php", "PHP", 0, 0, 41, 0, 0, 0, 0, 0, 9, 50
"f:\programming\projects\Rcomputer-project\back-end\resources\views\auth\passwords\email.blade.php", "PHP", 0, 0, 40, 0, 0, 0, 0, 0, 8, 48
"f:\programming\projects\Rcomputer-project\back-end\resources\views\auth\passwords\reset.blade.php", "PHP", 0, 0, 53, 0, 0, 0, 0, 0, 13, 66
"f:\programming\projects\Rcomputer-project\back-end\resources\views\auth\register.blade.php", "PHP", 0, 0, 103, 0, 0, 0, 0, 0, 4, 107
"f:\programming\projects\Rcomputer-project\back-end\resources\views\auth\verify.blade.php", "PHP", 0, 0, 25, 0, 0, 0, 0, 0, 4, 29
"f:\programming\projects\Rcomputer-project\back-end\resources\views\dashboard.blade.php", "PHP", 0, 0, 146, 0, 0, 0, 0, 0, 4, 150
"f:\programming\projects\Rcomputer-project\back-end\resources\views\edit\brand.blade.php", "PHP", 0, 0, 68, 0, 0, 0, 0, 0, 6, 74
"f:\programming\projects\Rcomputer-project\back-end\resources\views\edit\category.blade.php", "PHP", 0, 0, 68, 0, 0, 0, 0, 0, 6, 74
"f:\programming\projects\Rcomputer-project\back-end\resources\views\edit\product.blade.php", "PHP", 0, 0, 132, 0, 0, 0, 0, 0, 4, 136
"f:\programming\projects\Rcomputer-project\back-end\resources\views\edit\profile.blade.php", "PHP", 0, 0, 87, 0, 0, 0, 0, 0, 4, 91
"f:\programming\projects\Rcomputer-project\back-end\resources\views\emails\replay.blade.php", "PHP", 0, 0, 9, 0, 0, 0, 0, 0, 4, 13
"f:\programming\projects\Rcomputer-project\back-end\resources\views\forms\brand-form.blade.php", "PHP", 0, 0, 68, 0, 0, 0, 0, 0, 6, 74
"f:\programming\projects\Rcomputer-project\back-end\resources\views\forms\category-form.blade.php", "PHP", 0, 0, 68, 0, 0, 0, 0, 0, 6, 74
"f:\programming\projects\Rcomputer-project\back-end\resources\views\forms\product-form.blade.php", "PHP", 0, 0, 131, 0, 0, 0, 0, 0, 4, 135
"f:\programming\projects\Rcomputer-project\back-end\resources\views\forms\reply.blade.php", "PHP", 0, 0, 59, 0, 0, 0, 0, 0, 5, 64
"f:\programming\projects\Rcomputer-project\back-end\resources\views\home.blade.php", "PHP", 0, 0, 20, 0, 0, 0, 0, 0, 4, 24
"f:\programming\projects\Rcomputer-project\back-end\resources\views\layouts\app.blade.php", "PHP", 0, 0, 69, 0, 0, 0, 0, 0, 12, 81
"f:\programming\projects\Rcomputer-project\back-end\resources\views\pages\brands.blade.php", "PHP", 0, 0, 105, 0, 0, 0, 0, 0, 4, 109
"f:\programming\projects\Rcomputer-project\back-end\resources\views\pages\categories.blade.php", "PHP", 0, 0, 104, 0, 0, 0, 0, 0, 4, 108
"f:\programming\projects\Rcomputer-project\back-end\resources\views\pages\clients.blade.php", "PHP", 0, 0, 83, 0, 0, 0, 0, 0, 5, 88
"f:\programming\projects\Rcomputer-project\back-end\resources\views\pages\messages.blade.php", "PHP", 0, 0, 105, 0, 0, 0, 0, 0, 5, 110
"f:\programming\projects\Rcomputer-project\back-end\resources\views\pages\order-information.blade.php", "PHP", 0, 0, 146, 0, 0, 0, 0, 0, 4, 150
"f:\programming\projects\Rcomputer-project\back-end\resources\views\pages\orders.blade.php", "PHP", 0, 0, 97, 0, 0, 0, 0, 0, 7, 104
"f:\programming\projects\Rcomputer-project\back-end\resources\views\pages\products.blade.php", "PHP", 0, 0, 119, 0, 0, 0, 0, 0, 4, 123
"f:\programming\projects\Rcomputer-project\back-end\resources\views\pages\profile.blade.php", "PHP", 0, 0, 129, 0, 0, 0, 0, 0, 8, 137
"f:\programming\projects\Rcomputer-project\back-end\resources\views\sidebar\sidebar.blade.php", "PHP", 0, 0, 71, 0, 0, 0, 0, 0, 1, 72
"f:\programming\projects\Rcomputer-project\back-end\resources\views\vendor\mail\html\button.blade.php", "PHP", 0, 0, 24, 0, 0, 0, 0, 0, 1, 25
"f:\programming\projects\Rcomputer-project\back-end\resources\views\vendor\mail\html\footer.blade.php", "PHP", 0, 0, 11, 0, 0, 0, 0, 0, 1, 12
"f:\programming\projects\Rcomputer-project\back-end\resources\views\vendor\mail\html\header.blade.php", "PHP", 0, 0, 12, 0, 0, 0, 0, 0, 1, 13
"f:\programming\projects\Rcomputer-project\back-end\resources\views\vendor\mail\html\layout.blade.php", "PHP", 0, 0, 51, 0, 0, 0, 0, 0, 7, 58
"f:\programming\projects\Rcomputer-project\back-end\resources\views\vendor\mail\html\message.blade.php", "PHP", 0, 0, 29, 0, 0, 0, 0, 0, 4, 33
"f:\programming\projects\Rcomputer-project\back-end\resources\views\vendor\mail\html\panel.blade.php", "PHP", 0, 0, 13, 0, 0, 0, 0, 0, 2, 15
"f:\programming\projects\Rcomputer-project\back-end\resources\views\vendor\mail\html\subcopy.blade.php", "PHP", 0, 0, 7, 0, 0, 0, 0, 0, 1, 8
"f:\programming\projects\Rcomputer-project\back-end\resources\views\vendor\mail\html\table.blade.php", "PHP", 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"f:\programming\projects\Rcomputer-project\back-end\resources\views\vendor\mail\html\themes\default.css", "CSS", 0, 229, 0, 0, 0, 0, 0, 12, 50, 291
"f:\programming\projects\Rcomputer-project\back-end\resources\views\vendor\mail\text\button.blade.php", "PHP", 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"f:\programming\projects\Rcomputer-project\back-end\resources\views\vendor\mail\text\footer.blade.php", "PHP", 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"f:\programming\projects\Rcomputer-project\back-end\resources\views\vendor\mail\text\header.blade.php", "PHP", 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"f:\programming\projects\Rcomputer-project\back-end\resources\views\vendor\mail\text\layout.blade.php", "PHP", 0, 0, 6, 0, 0, 0, 0, 0, 4, 10
"f:\programming\projects\Rcomputer-project\back-end\resources\views\vendor\mail\text\message.blade.php", "PHP", 0, 0, 24, 0, 0, 0, 0, 0, 4, 28
"f:\programming\projects\Rcomputer-project\back-end\resources\views\vendor\mail\text\panel.blade.php", "PHP", 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"f:\programming\projects\Rcomputer-project\back-end\resources\views\vendor\mail\text\subcopy.blade.php", "PHP", 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"f:\programming\projects\Rcomputer-project\back-end\resources\views\vendor\mail\text\table.blade.php", "PHP", 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"f:\programming\projects\Rcomputer-project\back-end\resources\views\vendor\pagination\bootstrap-4.blade.php", "PHP", 0, 0, 43, 0, 0, 0, 0, 0, 4, 47
"f:\programming\projects\Rcomputer-project\back-end\resources\views\vendor\pagination\bootstrap-5.blade.php", "PHP", 0, 0, 82, 0, 0, 0, 0, 0, 7, 89
"f:\programming\projects\Rcomputer-project\back-end\resources\views\vendor\pagination\default.blade.php", "PHP", 0, 0, 43, 0, 0, 0, 0, 0, 4, 47
"f:\programming\projects\Rcomputer-project\back-end\resources\views\vendor\pagination\semantic-ui.blade.php", "PHP", 0, 0, 33, 0, 0, 0, 0, 0, 4, 37
"f:\programming\projects\Rcomputer-project\back-end\resources\views\vendor\pagination\simple-bootstrap-4.blade.php", "PHP", 0, 0, 26, 0, 0, 0, 0, 0, 2, 28
"f:\programming\projects\Rcomputer-project\back-end\resources\views\vendor\pagination\simple-bootstrap-5.blade.php", "PHP", 0, 0, 28, 0, 0, 0, 0, 0, 2, 30
"f:\programming\projects\Rcomputer-project\back-end\resources\views\vendor\pagination\simple-default.blade.php", "PHP", 0, 0, 18, 0, 0, 0, 0, 0, 2, 20
"f:\programming\projects\Rcomputer-project\back-end\resources\views\vendor\pagination\simple-tailwind.blade.php", "PHP", 0, 0, 24, 0, 0, 0, 0, 0, 2, 26
"f:\programming\projects\Rcomputer-project\back-end\resources\views\vendor\pagination\tailwind.blade.php", "PHP", 0, 0, 100, 0, 0, 0, 0, 0, 7, 107
"f:\programming\projects\Rcomputer-project\back-end\routes\api.php", "PHP", 0, 0, 18, 0, 0, 0, 0, 9, 12, 39
"f:\programming\projects\Rcomputer-project\back-end\routes\console.php", "PHP", 0, 0, 6, 0, 0, 0, 0, 0, 3, 9
"f:\programming\projects\Rcomputer-project\back-end\routes\web.php", "PHP", 0, 0, 111, 0, 0, 0, 0, 0, 39, 150
"f:\programming\projects\Rcomputer-project\back-end\tests\Feature\ExampleTest.php", "PHP", 0, 0, 11, 0, 0, 0, 0, 4, 5, 20
"f:\programming\projects\Rcomputer-project\back-end\tests\TestCase.php", "PHP", 0, 0, 6, 0, 0, 0, 0, 1, 4, 11
"f:\programming\projects\Rcomputer-project\back-end\tests\Unit\ExampleTest.php", "PHP", 0, 0, 10, 0, 0, 0, 0, 3, 4, 17
"f:\programming\projects\Rcomputer-project\back-end\vendor\spatie\ignition\resources\compiled\ignition.css", "CSS", 0, 1, 0, 0, 0, 0, 0, 2, 0, 3
"f:\programming\projects\Rcomputer-project\back-end\vendor\spatie\ignition\resources\compiled\ignition.js", "JavaScript", 0, 0, 0, 6, 0, 0, 0, 0, 1, 7
"f:\programming\projects\Rcomputer-project\back-end\vite.config.js", "JavaScript", 0, 0, 0, 13, 0, 0, 0, 0, 2, 15
"Total", "-", 8472, 318, 5707, 24, 32, 45, 7, 1536, 1192, 17333